Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499854580,1,OK,0.7104793,0.2724721,-0.4485806,0.4687787,141.292,-138.336,-1580.475,0.1601585,4,OK,85.307,-258.619,-1493.036,OK,65.909,-299.221,-1470.613,OK,24.079,-329.191,-1448.913,OK,56.454,-377.974,-1431.606,Port 2: NDI 8700449  s/n:3532DC02,499854580,1,OK,0.6489492,-0.1485056,-0.7430227,-0.0687631,179.152,-89.126,-1532.197,0.3237876,4,OK,179.210,-89.140,-1531.831,OK,166.615,-35.678,-1541.018,OK,94.782,-62.802,-1545.238,OK,134.877,-112.250,-1534.541
2,Port 1: NDI 8700340  s/n:34802401,499854583,1,OK,0.7106367,0.2730491,-0.4483151,0.4684582,141.294,-138.344,-1580.480,0.1631374,4,OK,85.421,-258.697,-1493.046,OK,66.059,-299.325,-1470.681,OK,24.256,-329.308,-1448.914,OK,56.652,-378.098,-1431.686,Port 2: NDI 8700449  s/n:3532DC02,499854583,1,OK,0.6490430,-0.1484959,-0.7429434,-0.0687551,179.169,-89.120,-1532.200,0.3275504,4,OK,179.233,-89.136,-1531.826,OK,166.626,-35.675,-1541.021,OK,94.801,-62.802,-1545.215,OK,134.887,-112.236,-1534.544
2,Port 1: NDI 8700340  s/n:34802401,499854586,1,OK,0.7103519,0.2726272,-0.4487519,0.4687177,141.337,-138.300,-1580.396,0.1556684,4,OK,85.337,-258.640,-1493.017,OK,65.945,-299.248,-1470.639,OK,24.125,-329.219,-1448.956,OK,56.491,-378.022,-1431.660,Port 2: NDI 8700449  s/n:3532DC02,499854586,1,OK,0.6489791,-0.1484644,-0.7430055,-0.0687549,179.153,-89.120,-1532.191,0.2988122,4,OK,179.224,-89.132,-1531.860,OK,166.607,-35.675,-1540.985,OK,94.785,-62.804,-1545.245,OK,134.868,-112.244,-1534.504
2,Port 1: NDI 8700340  s/n:34802401,499854589,1,OK,0.7104492,0.2725786,-0.4489398,0.4684186,141.342,-138.301,-1580.396,0.1676715,4,OK,85.261,-258.627,-1493.035,OK,65.833,-299.246,-1470.738,OK,23.992,-329.181,-1449.017,OK,56.332,-378.011,-1431.735,Port 2: NDI 8700449  s/n:3532DC02,499854589,1,OK,0.6490955,-0.1485665,-0.7428871,-0.0687152,179.168,-89.116,-1532.173,0.3181490,4,OK,179.232,-89.128,-1531.813,OK,166.626,-35.675,-1540.989,OK,94.797,-62.790,-1545.184,OK,134.886,-112.235,-1534.492
2,Port 1: NDI 8700340  s/n:34802401,499854592,1,OK,0.7107607,0.2727114,-0.4484900,0.4682996,141.304,-138.321,-1580.445,0.1670254,4,OK,85.312,-258.608,-1492.999,OK,65.907,-299.224,-1470.642,OK,24.075,-329.165,-1448.875,OK,56.432,-377.976,-1431.623,Port 2: NDI 8700449  s/n:3532DC02,499854592,1,OK,0.6487910,-0.1486060,-0.7431500,-0.0686622,179.163,-89.113,-1532.174,0.3105227,4,OK,179.232,-89.133,-1531.826,OK,166.625,-35.665,-1541.005,OK,94.800,-62.796,-1545.265,OK,134.881,-112.235,-1534.510
2,Port 1: NDI 8700340  s/n:34802401,499854595,1,OK,0.7109391,0.2727070,-0.4482899,0.4682229,141.322,-138.331,-1580.464,0.1639388,4,OK,85.347,-258.591,-1492.964,OK,65.952,-299.196,-1470.586,OK,24.126,-329.123,-1448.797,OK,56.479,-377.939,-1431.548,Port 2: NDI 8700449  s/n:3532DC02,499854595,1,OK,0.6489300,-0.1484638,-0.7430420,-0.0688258,179.157,-89.111,-1532.166,0.2924927,4,OK,179.224,-89.129,-1531.843,OK,166.614,-35.663,-1540.952,OK,94.794,-62.785,-1545.235,OK,134.874,-112.229,-1534.479
2,Port 1: NDI 8700340  s/n:34802401,499854598,1,OK,0.7109249,0.2726383,-0.4485506,0.4680348,141.307,-138.375,-1580.526,0.1606604,4,OK,85.248,-258.640,-1493.089,OK,65.829,-299.231,-1470.724,OK,23.975,-329.159,-1448.962,OK,56.303,-377.998,-1431.716,Port 2: NDI 8700449  s/n:3532DC02,499854598,1,OK,0.6490917,-0.1484200,-0.7429098,-0.0688217,179.157,-89.115,-1532.201,0.3050181,4,OK,179.218,-89.130,-1531.861,OK,166.614,-35.664,-1540.988,OK,94.788,-62.795,-1545.222,OK,134.876,-112.237,-1534.516
2,Port 1: NDI 8700340  s/n:34802401,499854601,1,OK,0.7110532,0.2728751,-0.4488787,0.4673868,141.280,-138.314,-1580.460,0.1636423,4,OK,85.123,-258.620,-1493.162,OK,65.662,-299.226,-1470.803,OK,23.780,-329.132,-1449.092,OK,56.071,-378.018,-1431.914,Port 2: NDI 8700449  s/n:3532DC02,499854601,1,OK,0.6490612,-0.1487040,-0.7429048,-0.0685497,179.155,-89.113,-1532.202,0.3141124,4,OK,179.217,-89.132,-1531.847,OK,166.613,-35.664,-1541.039,OK,94.789,-62.798,-1545.228,OK,134.871,-112.231,-1534.508
2,Port 1: NDI 8700340  s/n:34802401,499854604,1,OK,0.7112367,0.2729055,-0.4488218,0.4671444,141.276,-138.335,-1580.507,0.1664758,4,OK,85.100,-258.625,-1493.186,OK,65.631,-299.226,-1470.859,OK,23.741,-329.115,-1449.105,OK,56.018,-378.012,-1431.949,Port 2: NDI 8700449  s/n:3532DC02,499854604,1,OK,0.6489823,-0.1485699,-0.7429863,-0.0687053,179.158,-89.105,-1532.184,0.3152160,4,OK,179.218,-89.122,-1531.827,OK,166.616,-35.659,-1541.006,OK,94.796,-62.782,-1545.223,OK,134.880,-112.224,-1534.512
2,Port 1: NDI 8700340  s/n:34802401,499854607,1,OK,0.7111409,0.2727859,-0.4485196,0.4676502,141.315,-138.368,-1580.530,0.1661717,4,OK,85.238,-258.626,-1493.102,OK,65.804,-299.230,-1470.765,OK,23.943,-329.134,-1448.970,OK,56.255,-378.005,-1431.761,Port 2: NDI 8700449  s/n:3532DC02,499854607,1,OK,0.6488200,-0.1485610,-0.7431294,-0.0687088,179.163,-89.117,-1532.187,0.2945117,4,OK,179.229,-89.135,-1531.861,OK,166.621,-35.670,-1540.996,OK,94.803,-62.796,-1545.283,OK,134.883,-112.238,-1534.505
