Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,805697701,1,OK,0.7867506,0.3037610,-0.4195310,0.3357773,187.030,67.631,-1609.945,0.2319463,4,OK,123.738,-48.156,-1520.930,OK,101.330,-86.145,-1498.177,OK,58.576,-109.392,-1469.743,OK,81.851,-165.333,-1463.419,Port 2: NDI 8700449  s/n:3532DC02,805697701,1,OK,0.6286751,-0.1651512,-0.7576265,-0.0591166,199.279,80.632,-1594.286,0.2647047,4,OK,199.346,80.683,-1594.018,OK,187.753,133.737,-1605.913,OK,115.882,107.200,-1612.236,OK,154.856,57.797,-1597.477
2,Port 1: NDI 8700340  s/n:34802401,805697704,1,OK,0.7866070,0.3033757,-0.4194737,0.3365328,187.031,67.626,-1609.946,0.2372883,4,OK,123.784,-48.117,-1520.830,OK,101.398,-86.096,-1498.077,OK,58.661,-109.360,-1469.632,OK,81.966,-165.273,-1463.212,Port 2: NDI 8700449  s/n:3532DC02,805697704,1,OK,0.6288099,-0.1654108,-0.7574793,-0.0588431,199.286,80.633,-1594.302,0.2644354,4,OK,199.349,80.683,-1594.035,OK,187.760,133.741,-1605.961,OK,115.888,107.196,-1612.227,OK,154.858,57.793,-1597.454
2,Port 1: NDI 8700340  s/n:34802401,805697707,1,OK,0.7868170,0.3038890,-0.4192914,0.3358053,187.005,67.648,-1609.946,0.2433129,4,OK,123.790,-48.151,-1520.881,OK,101.397,-86.148,-1498.159,OK,58.663,-109.406,-1469.666,OK,81.959,-165.336,-1463.356,Port 2: NDI 8700449  s/n:3532DC02,805697707,1,OK,0.6287917,-0.1651771,-0.7575265,-0.0590864,199.285,80.634,-1594.298,0.2611867,4,OK,199.352,80.688,-1594.036,OK,187.759,133.740,-1605.920,OK,115.887,107.199,-1612.224,OK,154.855,57.801,-1597.472
2,Port 1: NDI 8700340  s/n:34802401,805697710,1,OK,0.7868166,0.3037447,-0.4191688,0.3360897,187.007,67.621,-1610.005,0.2348443,4,OK,123.832,-48.149,-1520.901,OK,101.460,-86.140,-1498.119,OK,58.724,-109.415,-1469.643,OK,82.037,-165.332,-1463.297,Port 2: NDI 8700449  s/n:3532DC02,805697710,1,OK,0.6289078,-0.1653590,-0.7573987,-0.0589803,199.294,80.638,-1594.276,0.2579069,4,OK,199.358,80.690,-1594.017,OK,187.768,133.749,-1605.911,OK,115.901,107.213,-1612.179,OK,154.856,57.805,-1597.421
2,Port 1: NDI 8700340  s/n:34802401,805697713,1,OK,0.7868632,0.3036369,-0.4190036,0.3362840,187.018,67.641,-1609.950,0.2310386,4,OK,123.875,-48.115,-1520.780,OK,101.523,-86.102,-1497.970,OK,58.812,-109.352,-1469.501,OK,82.133,-165.267,-1463.126,Port 2: NDI 8700449  s/n:3532DC02,805697713,1,OK,0.6287142,-0.1652191,-0.7575870,-0.0590169,199.285,80.631,-1594.276,0.2576061,4,OK,199.350,80.682,-1594.017,OK,187.753,133.739,-1605.908,OK,115.894,107.194,-1612.223,OK,154.857,57.792,-1597.447
2,Port 1: NDI 8700340  s/n:34802401,805697716,1,OK,0.7874361,0.3037914,-0.4185669,0.3353459,187.005,67.667,-1609.933,0.2363142,4,OK,123.864,-48.028,-1520.688,OK,101.490,-85.994,-1497.869,OK,58.787,-109.196,-1469.306,OK,82.053,-165.144,-1463.005,Port 2: NDI 8700449  s/n:3532DC02,805697716,1,OK,0.6285887,-0.1651782,-0.7576908,-0.0591362,199.285,80.636,-1594.267,0.2530296,4,OK,199.356,80.687,-1594.020,OK,187.762,133.743,-1605.885,OK,115.894,107.210,-1612.248,OK,154.858,57.803,-1597.448
2,Port 1: NDI 8700340  s/n:34802401,805697719,1,OK,0.7876415,0.3035411,-0.4183338,0.3353811,186.987,67.671,-1609.978,0.2371528,4,OK,123.855,-47.945,-1520.625,OK,101.487,-85.902,-1497.782,OK,58.804,-109.072,-1469.188,OK,82.044,-165.023,-1462.843,Port 2: NDI 8700449  s/n:3532DC02,805697719,1,OK,0.6286589,-0.1653741,-0.7576025,-0.0589726,199.286,80.645,-1594.276,0.2665628,4,OK,199.355,80.693,-1594.007,OK,187.767,133.754,-1605.931,OK,115.893,107.221,-1612.232,OK,154.856,57.808,-1597.452
2,Port 1: NDI 8700340  s/n:34802401,805697722,1,OK,0.7875317,0.3034362,-0.4184296,0.3356144,186.929,67.715,-1610.012,0.2384190,4,OK,123.794,-47.899,-1520.662,OK,101.426,-85.852,-1497.822,OK,58.730,-109.034,-1469.236,OK,81.989,-164.980,-1462.870,Port 2: NDI 8700449  s/n:3532DC02,805697722,1,OK,0.6286666,-0.1653747,-0.7576020,-0.0588958,199.277,80.630,-1594.288,0.2590653,4,OK,199.346,80.680,-1594.028,OK,187.752,133.737,-1605.942,OK,115.887,107.194,-1612.248,OK,154.846,57.790,-1597.451
2,Port 1: NDI 8700340  s/n:34802401,805697725,1,OK,0.7877710,0.3036091,-0.4182042,0.3351770,186.913,67.743,-1610.035,0.2345760,4,OK,123.796,-47.859,-1520.674,OK,101.432,-85.815,-1497.807,OK,58.748,-108.987,-1469.201,OK,81.973,-164.946,-1462.873,Port 2: NDI 8700449  s/n:3532DC02,805697725,1,OK,0.6287643,-0.1652429,-0.7575425,-0.0589884,199.277,80.630,-1594.298,0.2635004,4,OK,199.341,80.683,-1594.032,OK,187.752,133.740,-1605.937,OK,115.882,107.186,-1612.229,OK,154.846,57.792,-1597.470
2,Port 1: NDI 8700340  s/n:34802401,805697728,1,OK,0.7881671,0.3038409,-0.4175485,0.3348532,186.791,67.846,-1610.048,0.2401085,4,OK,123.804,-47.750,-1520.567,OK,101.477,-85.691,-1497.673,OK,58.823,-108.848,-1468.982,OK,82.070,-164.812,-1462.701,Port 2: NDI 8700449  s/n:3532DC02,805697728,1,OK,0.6287153,-0.1651647,-0.7575927,-0.0590842,199.284,80.637,-1594.292,0.2588854,4,OK,199.352,80.691,-1594.035,OK,187.756,133.746,-1605.914,OK,115.890,107.204,-1612.239,OK,154.855,57.794,-1597.467
